-720.192,-0.787129,4.44375,8920,-76.5455,15,18,17,50,-0.06,45.8333,2150
-1165.54,0.0348837,-0.245868,7175,-71.4896,18,10,11,39,0.205128,44.3333,2225
-1607.21,-0.011236,0.0357925,5465,-65.3316,16,7,9,32,0.28125,41.8333,2200
-2063.94,-0.0227273,-0.418387,3765,-56.2341,17,17,14,48,0,41.6667,2150
-2512.98,0.0232558,-0.21127,2185,-37.2176,17,11,12,40,0.15,41.3333,2200
-2912.66,-0.0454545,1.12631,2175,-3.26296,15,14,14,43,0.0232558,42,2100
-3244.71,-0.047619,0.380453,2130,-6.79612,18,13,8,39,0.128205,40.1667,2000
-3568.24,-0.005,0.343982,2088,-5.53797,12,14,19,45,-0.0444444,41.1667,1990
-3937.63,0.0427136,-0.335836,2073,-0.519377,18,8,22,48,0.208333,43.8333,2075
-4286.67,0.060241,0.659319,2073,5.05372,24,14,8,46,0.217391,43.5,2200
-4638.11,-0.0113636,-0.0117579,2088,4.06699,18,18,9,45,0,44.3333,2175
-4928.01,0.0229885,-0.537151,2133,5.40861,NULL,NULL,NULL,NULL,NULL,NULL,2225
-4550.77,-0.011236,0.132104,2175,2.60396,10,16,15,41,-0.146341,44,2200
-4174.81,0.0113636,0.0635708,2205,1.9084,19,9,14,42,0.238095,44.5,2225
-3795.64,0.011236,0.0373034,2215,1.69492,13,10,11,34,0.0882353,42.6667,2250
-3419.2,-0.0111111,-0.477913,2225,0.37594,8,16,12,36,-0.222222,40.6667,2225
-3045.96,0.0674157,1.63076,2255,5.55556,26,4,19,49,0.44898,41.1667,2375
-2658.94,-0.0210526,-0.555611,2280,2.57353,5,20,12,37,-0.405405,39.8333,2325
-2263.91,-0.0215054,0.125787,2290,-0.182815,9,18,12,39,-0.230769,39.5,2275
-1894.49,-0.032967,0.200357,2280,-3.2967,3,23,16,42,-0.47619,39.5,2200
-1563.24,-0.0227273,0.851193,2265,-4.79705,6,16,13,35,-0.285714,39.6667,2150
-1250.1,0,-0.345031,2220,-4.26716,10,22,13,45,-0.266667,41.1667,2150
-912.596,0.0116279,-0.192356,2190,-1.69492,14,6,11,31,0.258065,38.1667,2175
-590.32,-0.0344828,0.368306,2155,-3.44828,2,25,8,35,-0.657143,37.8333,2100
-267.564,0.0238095,-0.493003,2145,-0.193424,9,25,13,47,-0.340426,39.1667,2150
34.1987,0.0232558,0.215815,2155,2.12766,20,4,5,29,0.551724,37,2200
30.3526,0.0227273,-0.204474,2175,3.64683,5,20,12,37,-0.405405,35.5,2250
31.4744,0,-0.19037,2190,2.85714,15,13,17,45,0.0444444,37.8333,2250
20.2564,0.0111111,1.45571,2225,3.21361,13,20,13,46,-0.152174,39,2275
13.5256,0.021978,-0.391883,2260,3.71747,17,15,13,45,0.0444444,41.6667,2325
12.8846,0,0.329021,2285,2.38532,20,5,10,35,0.428571,41.8333,2325
12.4038,-0.0215054,-0.0297251,2290,-0.364964,3,14,4,21,-0.52381,26.6667,2275
14.4872,0.021978,-0.380584,2305,1.27042,17,7,5,29,0.344828,23.8333,2325
17.3077,0.0107527,-0.023251,2320,1.62162,13,8,7,28,0.178571,21,2350
20.1923,-0.0106383,0.329121,2320,0.179533,12,3,7,22,0.409091,18.8333,2325
30.7692,-0.0322581,0.733393,2305,-2.52708,4,14,12,30,-0.333333,23.1667,2250
36.2179,0,-0.227658,2300,-1.99637,16,4,7,27,0.444444,26.1667,2250
38.3013,-0.0111111,0.0845694,2280,-2.73224,9,11,6,26,-0.0769231,27,2225
33.0128,-0.0224719,-0.00531999,2245,-3.8674,9,9,4,22,0,25.8333,2175
33.1731,0.045977,-0.155383,2235,1.11111,20,8,12,40,0.3,27.8333,2275
33.3333,0.010989,-0.207363,2245,2.41187,6,16,14,36,-0.277778,30.1667,2300
30.609,0.0217391,1.14392,2265,3.8674,9,17,12,38,-0.210526,32.5,2350
31.4103,-0.0212766,-0.467317,2280,1.2844,6,20,3,29,-0.482759,33,2300
35.5769,0.0108696,-0.325301,2310,1.63934,10,10,10,30,0,34.3333,2325
31.4103,-0.0215054,1.06576,2310,-1.26582,14,16,11,41,-0.0487805,30.1667,2275
22.2756,0,-0.161313,2305,-1.26582,11,12,12,35,-0.0285714,30.5,2275
13.3013,0,0.0920026,2290,-1.08696,4,16,5,25,-0.48,28.3333,2275
